I	pron
be	noun
you	pron
the	art
to	part
a	art
it	pron
do	noun
that	noun
and	noun
have	noun
we	pron
of	adp
he	noun
in	noun
this	det
what	noun
go	verb
will	noun
get	verb
for	adp
she	noun
on	adp
they	pron
so	noun
your	det
know	verb
can	aux
no	noun
but	verb
with	adp
like	verb
not	noun
all	noun
just	adv
here	adv
there	noun
right	verb
want	verb
come	verb
good	verb
up	verb
if	noun
think	verb
one	noun
about	adp
out	verb
at	noun
oh	noun
say	verb
see	verb
now	noun
how	noun
okay	intj
yeah	intj
let	verb
look	verb
make	verb
take	verb
yes	noun
time	verb
as	adp
well	verb
tell	verb
who	noun
why	noun
from	adp
when	noun
need	verb
really	adv
his	det
back	verb
many	adj
hey	intj
man	verb
thing	noun
person	noun
then	adv
could	aux
our	det
or	noun
because	sconj
too	adv
give	verb
where	noun
play	verb
way	noun
love	verb
some	det
by	adp
mean	adj
should	aux
something	noun
work	verb
feel	verb
talk	noun
music	noun
leave	noun
guy	noun
win	verb
day	noun
find	verb
down	verb
laugh	verb
call	noun
two	noun
thank	verb
even	verb
over	noun
very	adv
please	verb
never	adv
first	noun
try	verb
sorry	noun
only	adv
happen	verb
little	noun
wait	verb
help	verb
much	adv
uh	intj
off	verb
sure	adj
life	verb
stop	verb
keep	verb
other	noun
year	noun
still	verb
great	noun
into	adp
use	verb
ask	verb
start	verb
their	det
after	noun
put	verb
again	adv
any	det
everything	pron
fuck	noun
anything	pron
lot	noun
hear	verb
big	noun
long	verb
show	verb
friend	verb
before	sconj
always	adv
than	adp
mom	noun
home	verb
god	noun
bad	noun
woman	verb
new	adj
nothing	noun
chuckle	verb
girl	verb
mr	noun
maybe	noun
away	verb
nice	adj
last	verb
today	noun
run	verb
move	noun
kid	verb
dad	noun
place	verb
someone	noun
sir	noun
three	noun
kill	verb
must	noun
both	cconj
sigh	intj
night	noun
around	adp
bring	verb
name	verb
stay	noun
live	verb
family	noun
fine	verb
lose	verb
old	noun
world	noun
money	noun
through	adp
end	verb
huh	intj
meet	verb
believe	verb
kind	adj
next	adj
hello	noun
turn	verb
thanks	noun
everyone	pron
ever	adv
every	det
together	adv
care	verb
course	verb
house	verb
hard	adj
late	noun
wrong	noun
eat	verb
hand	verb
baby	verb
which	pron
listen	noun
same	adj
hold	verb
open	verb
close	noun
miss	noun
also	adv
enough	adv
um	intj
remember	verb
hi	intj
head	verb
might	noun
already	adv
door	noun
job	noun
own	verb
ready	verb
happy	adj
understand	verb
another	det
break	verb
change	verb
actually	adv
die	verb
watch	noun
cause	verb
team	verb
bit	noun
else	adj
boy	noun
cheer	verb
real	noun
phone	verb
face	verb
car	noun
speak	verb
shit	verb
father	verb
minute	noun
gasp	noun
second	verb
grunt	verb
fight	noun
since	sconj
hope	noun
game	verb
son	noun
most	adv
idea	noun
school	verb
problem	noun
hit	verb
brother	noun
hmm	intj
while	verb
pretty	verb
mother	verb
wow	noun
room	verb
mind	noun
without	adp
worry	noun
once	adv
pay	verb
may	noun
point	verb
eye	verb
become	verb
seem	verb
sound	noun
guess	noun
plan	verb
forget	verb
send	verb
ah	noun
groan	verb
whole	adj
child	verb
matter	verb
part	verb
high	noun
heart	verb
each	det
such	det
check	noun
hell	noun
sit	verb
fun	verb
case	verb
five	noun
continue	verb
true	adj
yet	adv
save	verb
scream	noun
anyone	pron
morning	noun
different	adj
cool	verb
fall	verb
walk	verb
stand	verb
soon	adj
word	verb
until	sconj
question	verb
haven	noun
side	verb
whoa	intj
easy	adj
young	verb
drink	noun
week	noun
catch	verb
ring	verb
hurt	verb
deal	verb
four	noun
lie	verb
sleep	verb
stuff	verb
number	verb
tonight	noun
fire	verb
hour	noun
buy	noun
alone	adv
water	verb
able	adj
crazy	noun
clear	verb
set	verb
tomorrow	noun
