人	ひと	n
日	ひ	n
年	とし	n
月	つき	n
見	み	n
という	という	exp
中	なか	n
何	なに	pn
私	わたくし	pn
時	とき	n
今	いま	n
方	ほう	n
として	として	exp
日本	にほん	n
自分	じぶん	pn
俺	おれ	pn
前	まえ	n
気	き	n
時間	じかん	n
でしょ	でしょ	exp
目	め	n
できる	できる	v1
話	はなし	n
事	こと	n
出	で	n
思う	おもう	v5u
分	ぶん	n
家	いえ	n
円	えん	n
後	あと	n
ください	ください	exp
二	に	
好き	すき	adj-na
良い	よい	adj-i
性	せい	n
上	うえ	n
回	かい	ctr
考え	かんがえ	n
感じ	かんじ	n
必要	ひつよう	adj-na
そんな	そんな	
なんて	なんて	n
万	まん	
ちょっと	ちょっと	adv
世界	せかい	n
他	ほか	n
本	ほん	n
誰	だれ	pn
ありがとう	ありがとう	int
ところ	ところ	n
仕事	しごと	vs
言う	いう	v5u
市	いち	n
県	あがた	n
あなた	あなた	pn
こんな	こんな	
について	について	exp
られる	られる	v1
同じ	おなじ	n
問題	もんだい	n
度	ど	n
系	けい	n
手	て	n
みんな	みんな	n
ゲーム	ゲーム	n
そして	そして	conj
思い	おもい	n
情報	じょうほう	n
くらい	くらい	adj-i
三	さん	
関係	かんけい	vs
くれる	くれる	v1
会	かい	n
僕	ぼく	pn
力	ちから	n
国	くに	n
しかし	しかし	conj
今日	きょう	n
本当に	ほんとうに	adv
以上	いじょう	n
可能	かのう	adj-na
場合	ばあい	adv
多い	おおい	adj-i
子	こ	n
車	くるま	n
金	きん	n
男	おとこ	n
間	あいだ	n
なんか	なんか	vs
出来	でき	n
所	ところ	n
人間	にんげん	n
名	めい	ctr
女	おんな	n
位	くらい	n
様	よう	n
行く	いく	v5k-s
入れ	いれ	n
欲しい	ほしい	adj-i
無い	ない	adj-i
ましょ	ましょ	n
女性	じょせい	n
東京	とうきょう	n
見る	みる	v1
意味	いみ	vs
一緒	いっしょ	adv
多く	おおく	n
君	きみ	pn
ござい	ござい	n
によって	によって	exp
もっと	もっと	adv
使用	しよう	vs
店	たな	n
悪い	わるい	adj-i
生	なま	n
結果	けっか	vs
しまう	しまう	v5u
先	さき	n
内	うち	n
写真	しゃしん	n
参加	さんか	vs
感	かん	n
物	もの	n
顔	かお	n
お願い	おねがい	vs
だって	だって	conj
会社	かいしゃ	n
声	こえ	n
最近	さいきん	n
用	よう	n
違う	ちがう	v5u
による	による	v5r
十	じゅう	
少し	すこし	adv
時代	じだい	n
頭	あたま	n
いつも	いつも	adv
お前	おまえ	pn
アメリカ	アメリカ	n
代	だい	n
子供	こども	n
彼	あれ	pn
心	しん	n
高	こう	n
こちら	こちら	pn
アニメ	アニメ	n
サイト	サイト	n
名前	なまえ	n
無料	むりょう	n
版	はん	n
神	かみ	n
下	した	n
元	もと	n
別	べつ	n
場所	ばしょ	n
最後	さいご	n
部	ぶ	n
高い	たかい	adj-i
一番	いちばん	n
出し	だし	n
受け	うけ	n
大丈夫	だいじょうぶ	adj-na
町	まち	n
言葉	ことば	n
奴	やっこ	n
映画	えいが	n
点	てん	n
社会	しゃかい	n
方法	ほうほう	n
最初	さいしょ	n
理由	りゆう	n
相手	あいて	n
見え	みえ	n
すごい	すごい	adj-i
とても	とても	adv
体	たい	n
作品	さくひん	n
動画	どうが	vs
型	かた	n
始め	はじめ	n
彼女	かのじょ	pn
頃	ころ	n
駅	えき	n
ちゃう	ちゃう	v5u
らしい	らしい	
下さい	ください	exp
企業	きぎょう	n
利用	りよう	vs
存在	そんざい	vs
曲	きょく	n
漫画	まんが	n
無理	むり	adj-na
現在	げんざい	n
わかる	わかる	v5r
以外	いがい	n
水	みず	n
行き	いき	n
事件	じけん	n
普通	ふつう	n
番	ばん	n
通り	とおり	adv
女子	めこ	n
学校	がっこう	n
得	とく	adj-na
最高	さいこう	n
状態	じょうたい	n
画像	がぞう	n
発売	はつばい	vs
簡単	かんたん	adj-na
約	やく	adv
絶対	ぜったい	adv
中国	ちゅうごく	n
側	そば	n
先生	せんせい	n
実際	じっさい	n
気持ち	きもち	n
確認	かくにん	vs
開催	かいさい	vs
すぎる	すぎる	v1
ほしい	ほしい	adj-i
今回	こんかい	n
全部	ぜんぶ	n
夜	よる	n
テレビ	テレビ	n
個人	こじん	n
外	そと	n
教え	おしえ	n
早く	はやく	adv
枚	まい	ctr
機	き	n
法	ほう	n
結婚	けっこん	vs
ずっと	ずっと	adv
一つ	ひとつ	
出来る	できる	v1
初めて	はじめて	adv
友達	ともだち	n
場	ば	n
生活	せいかつ	vs
色	いろ	n
ダメ	だめ	adj-na
かなり	かなり	n
どんな	どんな	
により	により	n
人気	にんき	n
公開	こうかい	vs
初	うぶ	adj-na
区	く	n
新しい	あたらしい	adj-i
理解	りかい	vs
さらに	さらに	adv
全て	すべて	n
内容	ないよう	n
向け	むけ	n
大阪	おおさか	n
女の子	おんなのこ	exp
娘	むすめ	n
対応	たいおう	vs
放送	ほうそう	vs
活動	かつどう	vs
状況	じょうきょう	n
登場	とうじょう	vs
販売	はんばい	vs
音	おと	n
ネット	ネット	n
出る	でる	v1
夢	ゆめ	n
大変	たいへん	adv
完全	かんぜん	adj-na
技術	ぎじゅつ	n
特に	とくに	adv
研究	けんきゅう	vs
説明	せつめい	vs
そういう	そういう	
式	しき	n
発表	はっぴょう	vs
道	みち	n
風	ふう	adj-na
お金	おかね	n
たくさん	たくさん	n
